schema_version,recorded_at_utc,git_sha,git_ref,workflow_run_id,os,arch,compiler,build_type,benchmark_suite,benchmark_name,frames,dt_seconds,milliseconds_total,milliseconds_per_frame,metric_type,median_milliseconds_per_frame,stddev_milliseconds_per_frame,cv_percent,peak_rss_kb,allocator_delta_bytes,golden_milliseconds_per_frame,regression_percent,threshold_percent,pass_fail,machine_tag
1,2026-03-21T04:12:08Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,macos,arm64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.235000,0.001175,median,0.000370,0.000034,9.25,1808,16152,0.006325,-94.15,2.00,PASS,macos-14-gha
1,2026-03-21T04:12:08Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,macos,arm64,clang,Release,performance,solver,200,0.0166667,0.269000,0.001345,total,0.001345,0.000000,0.00,2112,9728,0.015695,-91.43,5.00,PASS,macos-14-gha
1,2026-03-22T04:27:18Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,linux,x64,clang,Release,performance,broadphase,200,0.0166667,46.578000,0.232890,total,0.232890,0.000000,0.00,4224,64512,1.455000,-83.99,5.00,PASS,ubuntu-22.04-gha
1,2026-03-22T04:27:18Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,8.264000,0.082640,median,0.015560,0.002343,15.06,4352,11432,0.052930,-70.60,10.00,PASS,ubuntu-22.04-gha
1,2026-03-22T04:27:18Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.286000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000672,-78.70,5.00,PASS,ubuntu-22.04-gha
1,2026-03-22T04:27:18Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.346000,0.001730,median,0.000530,0.000066,12.45,4480,16152,0.006325,-91.62,2.00,PASS,ubuntu-22.04-gha
1,2026-03-22T04:27:18Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,linux,x64,clang,Release,performance,solver,200,0.0166667,0.567000,0.002835,total,0.002835,0.000000,0.00,4224,9728,0.015695,-81.94,5.00,PASS,ubuntu-22.04-gha
1,2026-03-22T04:27:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,84.994000,0.424970,total,0.424970,0.000000,0.00,4660,44500,1.455000,-70.79,5.00,PASS,windows-2022-gha
1,2026-03-22T04:27:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,9.307000,0.093070,median,0.017380,0.002127,12.24,4608,11796,0.052930,-67.16,10.00,PASS,windows-2022-gha
1,2026-03-22T04:27:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.327000,0.000164,total,0.000164,0.000000,0.00,4660,144,0.000672,-75.65,5.00,PASS,windows-2022-gha
1,2026-03-22T04:27:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.274000,0.001370,median,0.000455,0.000002,0.52,4664,19996,0.006325,-92.81,2.00,PASS,windows-2022-gha
1,2026-03-22T04:27:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23395586070,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.593000,0.002965,total,0.002965,0.000000,0.00,4660,9728,0.015695,-81.11,5.00,PASS,windows-2022-gha
