schema_version,recorded_at_utc,git_sha,git_ref,workflow_run_id,os,arch,compiler,build_type,benchmark_suite,benchmark_name,frames,dt_seconds,milliseconds_total,milliseconds_per_frame,metric_type,median_milliseconds_per_frame,stddev_milliseconds_per_frame,cv_percent,peak_rss_kb,allocator_delta_bytes,golden_milliseconds_per_frame,regression_percent,threshold_percent,pass_fail,machine_tag
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.287000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000677,-78.80,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.302000,0.001510,median,0.000470,0.000047,10.03,4352,16152,0.006365,-92.62,2.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,solver,200,0.0166667,0.555000,0.002775,total,0.002775,0.000000,0.00,4224,9728,0.016085,-82.75,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:36Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,78.053000,0.390265,total,0.390265,0.000000,0.00,4664,44500,1.497700,-73.94,5.00,PASS,windows-2022-gha
1,2026-03-15T18:42:36Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,11.033000,0.110330,median,0.022180,0.001546,6.97,4684,11796,0.057350,-61.33,10.00,PASS,windows-2022-gha
1,2026-03-15T18:42:36Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.322000,0.000161,total,0.000161,0.000000,0.00,4664,144,0.000677,-76.22,5.00,PASS,windows-2022-gha
1,2026-03-15T18:42:36Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.396000,0.001980,median,0.000615,0.000172,28.03,4512,19996,0.006365,-90.34,2.00,PASS,windows-2022-gha
1,2026-03-15T18:42:36Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.650000,0.003250,total,0.003250,0.000000,0.00,4664,9728,0.016085,-79.79,5.00,PASS,windows-2022-gha
1,2026-03-15T18:42:46Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,macos,arm64,clang,Release,performance,broadphase,200,0.0166667,42.863000,0.214315,total,0.214315,0.000000,0.00,1920,64512,1.497700,-85.69,5.00,PASS,macos-14-gha
1,2026-03-15T18:42:46Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,macos,arm64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,11.649000,0.116490,median,0.022490,0.004764,21.18,2160,11432,0.057350,-60.78,10.00,PASS,macos-14-gha
1,2026-03-15T18:42:46Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,macos,arm64,clang,Release,performance,gjk,2000,0.0166667,0.194000,0.000097,total,0.000097,0.000000,0.00,1920,144,0.000677,-85.67,5.00,PASS,macos-14-gha
